time_s,data,pn,carrier,spread,tx,recovered
1.00625e-05,0.0,1.0,0.0,1.0,1.0,0.0
1.0125e-05,0.0,1.0,0.0,1.0,1.0,0.0
1.01875e-05,0.0,1.0,0.0,1.0,1.0,0.0
1.025e-05,0.0,1.0,1.0,1.0,0.0,0.0
1.03125e-05,0.0,1.0,1.0,1.0,0.0,0.0
1.0375e-05,0.0,1.0,1.0,1.0,0.0,0.0
1.04375e-05,0.0,1.0,1.0,1.0,0.0,0.0
1.05e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.05625e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.0625e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.06875e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.075e-05,0.0,0.0,1.0,0.0,1.0,0.0
1.08125e-05,0.0,0.0,1.0,0.0,1.0,0.0
1.0875e-05,0.0,0.0,1.0,0.0,1.0,0.0
1.09375e-05,0.0,0.0,1.0,0.0,1.0,0.0
1.1e-05,0.0,1.0,0.0,1.0,1.0,0.0
1.10625e-05,0.0,1.0,0.0,1.0,1.0,0.0
1.1125e-05,0.0,1.0,0.0,1.0,1.0,0.0
1.11875e-05,0.0,1.0,0.0,1.0,1.0,0.0
1.125e-05,0.0,1.0,1.0,1.0,0.0,0.0
1.13125e-05,0.0,1.0,1.0,1.0,0.0,0.0
1.1375e-05,0.0,1.0,1.0,1.0,0.0,0.0
1.14375e-05,0.0,1.0,1.0,1.0,0.0,0.0
1.15e-05,0.0,1.0,0.0,1.0,1.0,0.0
1.15625e-05,0.0,1.0,0.0,1.0,1.0,0.0
1.1625e-05,0.0,1.0,0.0,1.0,1.0,0.0
1.16875e-05,0.0,1.0,0.0,1.0,1.0,0.0
1.175e-05,0.0,1.0,1.0,1.0,0.0,0.0
1.18125e-05,0.0,1.0,1.0,1.0,0.0,0.0
1.1875e-05,0.0,1.0,1.0,1.0,0.0,0.0
1.19375e-05,0.0,1.0,1.0,1.0,0.0,0.0
1.2e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.20625e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.2125e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.21875e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.225e-05,0.0,0.0,1.0,0.0,1.0,0.0
1.23125e-05,0.0,0.0,1.0,0.0,1.0,0.0
1.2375e-05,0.0,0.0,1.0,0.0,1.0,0.0
1.24375e-05,0.0,0.0,1.0,0.0,1.0,0.0
1.25e-05,0.0,1.0,0.0,1.0,1.0,0.0
1.25625e-05,0.0,1.0,0.0,1.0,1.0,0.0
1.2625e-05,0.0,1.0,0.0,1.0,1.0,0.0
1.26875e-05,0.0,1.0,0.0,1.0,1.0,0.0
1.275e-05,0.0,1.0,1.0,1.0,0.0,0.0
1.28125e-05,0.0,1.0,1.0,1.0,0.0,0.0
1.2875e-05,0.0,1.0,1.0,1.0,0.0,0.0
1.29375e-05,0.0,1.0,1.0,1.0,0.0,0.0
1.3e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.30625e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.3125e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.31875e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.325e-05,0.0,0.0,1.0,0.0,1.0,0.0
1.33125e-05,0.0,0.0,1.0,0.0,1.0,0.0
1.3375e-05,0.0,0.0,1.0,0.0,1.0,0.0
1.34375e-05,0.0,0.0,1.0,0.0,1.0,0.0
1.35e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.35625e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.3625e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.36875e-05,0.0,0.0,0.0,0.0,0.0,0.0
1.375e-05,0.0,0.0,1.0,0.0,1.0,0.0
1.38125e-05,0.0,0.0,1.0,0.0,1.0,0.0
1.3875e-05,0.0,0.0,1.0,0.0,1.0,0.0
1.39375e-05,0.0,0.0,1.0,0.0,1.0,0.0
1.4e-05,0.0,1.0,0.0,1.0,1.0,0.0
1.40625e-05,0.0,1.0,0.0,1.0,1.0,0.0
1.4125e-05,0.0,1.0,0.0,1.0,1.0,0.0
1.41875e-05,0.0,1.0,0.0,1.0,1.0,0.0
1.425e-05,0.0,1.0,1.0,1.0,0.0,0.0
1.43125e-05,0.0,1.0,1.0,1.0,0.0,0.0
1.4375e-05,0.0,1.0,1.0,1.0,0.0,0.0
1.44375e-05,0.0,1.0,1.0,1.0,0.0,0.0
1.45e-05,0.0,1.0,0.0,1.0,1.0,0.0
1.45625e-05,0.0,1.0,0.0,1.0,1.0,0.0
1.4625e-05,0.0,1.0,0.0,1.0,1.0,0.0
1.46875e-05,0.0,1.0,0.0,1.0,1.0,0.0
1.475e-05,0.0,1.0,1.0,1.0,0.0,0.0
1.48125e-05,0.0,1.0,1.0,1.0,0.0,0.0
1.4875e-05,0.0,1.0,1.0,1.0,0.0,0.0
1.49375e-05,0.0,1.0,1.0,1.0,0.0,0.0
